sample	pop	perf	assay	run	url	date
ERS185491	FIN	ICMB	HG00174.4.M_120208_3	ERR188163	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188163/ERR188163_1.fastq.gz	120208
ERS185491	FIN	ICMB	HG00174.4.M_120208_3	ERR188163	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188163/ERR188163_2.fastq.gz	120208
ERS185299	FIN	ICMB	HG00176.4.M_120208_2	ERR188187	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188187/ERR188187_1.fastq.gz	120208
ERS185299	FIN	ICMB	HG00176.4.M_120208_2	ERR188187	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188187/ERR188187_2.fastq.gz	120208
ERS185418	FIN	ICMB	HG00177.4.M_120208_8	ERR188180	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188180/ERR188180_1.fastq.gz	120208
ERS185418	FIN	ICMB	HG00177.4.M_120208_8	ERR188180	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188180/ERR188180_2.fastq.gz	120208
ERS185089	FIN	ICMB	HG00178.4.M_120208_8	ERR188248	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188248/ERR188248_1.fastq.gz	120208
ERS185089	FIN	ICMB	HG00178.4.M_120208_8	ERR188248	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188248/ERR188248_2.fastq.gz	120208
ERS185173	FIN	ICMB	HG00181.4.M_120208_4	ERR188118	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188118/ERR188118_1.fastq.gz	120208
ERS185173	FIN	ICMB	HG00181.4.M_120208_4	ERR188118	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188118/ERR188118_2.fastq.gz	120208
ERS185270	FIN	ICMB	HG00267.4.M_120208_6	ERR188355	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188355/ERR188355_1.fastq.gz	120208
ERS185270	FIN	ICMB	HG00267.4.M_120208_6	ERR188355	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188355/ERR188355_2.fastq.gz	120208
ERS185467	FIN	ICMB	HG00275.4.M_120208_8	ERR188326	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188326/ERR188326_1.fastq.gz	120208
ERS185467	FIN	ICMB	HG00275.4.M_120208_8	ERR188326	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188326/ERR188326_2.fastq.gz	120208
ERS185202	FIN	ICMB	HG00310.4.M_120208_3	ERR188205	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188205/ERR188205_1.fastq.gz	120208
ERS185202	FIN	ICMB	HG00310.4.M_120208_3	ERR188205	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188205/ERR188205_2.fastq.gz	120208
